survey,siteID,phase,area,sub_phase,palatial,siteUID,surUID,cat_area,centroid_x,centroid_y,rarea,radius,density,catch_area,catch_radius,,,
GOU,6,MMIB-II,0,MMIB-II,proto,5,G6,3400,662479,3886360,3400,32.898,34,20.4,254.8238937,,,
GOU,6,EMI-II,0,EMI-II,prepal,3,G6,40000,662603,3886120,40000,112.838,800,480,1236.077446,,,
GOU,7,EMI-II,0,EMI-II,prepal,4,G7,2400,662637,3887000,2400,27.64,12,7.2,151.3879513,,,
GOU,7,MMIB-II,0,MMIB-II,proto,6,G7,3000,662615,3886960,3000,30.902,30,18,239.3653682,,,
GOU,8,EMIII-MMIA,0,EMIII-MMIA,prepal,2,G8,15000,663144,3886470,15000,69.099,150,90,535.2372348,,,
GOU,8,EMI-II,0,EMI-II,prepal,5,G8,15000,663147,3886490,15000,69.099,150,90,535.2372348,,,
GOU,8,LMIIIA-IIIB,0,LMIIIA-IIIB,postpal,1,G8,15000,663170,3886590,15000,69.099,150,90,535.2372348,,,
GOU,8,MMIII-LMI,0,MMIII-LMI,neo,4,G8,33750,663309,3886640,33750,103.648,506.25,303.75,983.2935875,,,
GOU,8,MMIB-II,0,MMIB-II,proto,7,G8,62500,663172,3886590,62500,141.047,1250,750,1545.096808,,,
GOU,9,HEL-RMN,0,ROMAN,greco-rmn,14,G9,10000,663174,3886320,10000,56.419,100,60,437.0193722,,,
GOU,10,MMIII-LMI,0,MMIII-LMI,neo,4,G10,1250,663309,3886640,1250,19.947,6.25,3.75,109.2548431,,,
GOU,10,FN,0,FN,prepal,2,G10,100,663367,3886760,100,5.642,0.5,0.3,30.90193616,,,
GOU,10,EMIII-MMIA,0,EMIII-MMIA,prepal,3,G10,9000,663432,3886710,9000,53.524,90,54,414.5929794,,,
GOU,10,EMI-II,0,EMI-II,prepal,6,G10,9000,663433,3886770,9000,53.524,90,54,414.5929794,,,
GOU,10,MMIB-II,0,MMIB-II,proto,8,G10,41250,663431,3886690,41250,114.587,825,495,1255.242581,,,
GOU,11,EMIII-MMIA,0,EMIII-MMIA,prepal,4,G11,2000,663315,3886020,2000,25.231,10,6,138.1976598,,,
GOU,11,MMIII-LMI,0,MMIII-LMI,neo,5,G11,15000,663333,3885980,15000,69.099,150,90,535.2372348,,,
GOU,11,MMIB-II,0,MMIB-II,proto,9,G11,15000,663334,3885960,15000,69.099,150,90,535.2372348,,,
GOU,12,MMIB-II,0,MMIB-II,proto,10,G12,1200,663160,3885600,1200,19.544,6,3.6,107.047447,,,
GOU,12,MMIII-LMI,0,MMIII-LMI,neo,6,G12,1200,663176,3885660,1200,19.544,6,3.6,107.047447,,,
GOU,13,MMIB-II,0,MMIB-II,proto,11,G13,400,663323,3885400,400,11.284,2,1.2,61.80387232,,,
GOU,13,MMIII-LMI,0,MMIII-LMI,neo,7,G13,400,663330,3885390,400,11.284,2,1.2,61.80387232,,,
GOU,14,EMI-II,0,EMI-II,prepal,7,G14,2000,663634,3886120,2000,25.231,10,6,138.1976598,,,
GOU,14,MMIII-LMI,0,MMIII-LMI,neo,8,G14,100,663668,3886090,100,5.642,0.5,0.3,30.90193616,,,
GOU,14,EMIII-MMIA,0,EMIII-MMIA,prepal,5,G14,2600,663636,3886110,2600,28.768,26,15.6,222.8370307,,,
GOU,14,MMIB-II,0,MMIB-II,proto,12,G14,17000,663660,3886120,17000,73.561,170,102,569.8035485,,,
GOU,15,MMIII-LMI,0,MMIII-LMI,neo,9,G15,6000,664018,3886000,6000,43.702,60,36,338.5137501,,,
GOU,16,MMIB-II,0,MMIB-II,proto,13,G16,6000,664101,3886150,6000,43.702,60,36,338.5137501,,,
GOU,16,MMIII-LMI,0,MMIII-LMI,neo,10,G16,6000,664185,3886160,6000,43.702,60,36,338.5137501,,,
GOU,17,HEL-RMN,0,ROMAN,greco-rmn,15,G17,5000,664090,3886520,5000,39.894,50,30,309.0193616,,,
GOU,17,EMIII-MMIA,0,EMIII-MMIA,prepal,6,G17,18800,664093,3886540,18800,77.358,188,112.8,599.2107739,,,
GOU,17,MMIB-II,0,MMIB-II,proto,14,G17,22500,664074,3886520,22500,84.628,337.5,202.5,802.8558523,,,
GOU,20,MMIII-LMI,0,MMIII-LMI,neo,13,G20,5000,664437,3886240,5000,39.894,50,30,309.0193616,,,
GOU,20,MMIB-II,0,MMIB-II,proto,16,G20,5000,664470,3886260,5000,39.894,50,30,309.0193616,,,
GOU,21,HEL-RMN,0,ROMAN,greco-rmn,16,G21,8400,664762,3886300,8400,51.709,84,50.4,400.5348707,,,
GOU,22,EMI-II,0,EMI-II,prepal,8,G22,2000,665109,3886300,2000,25.231,10,6,138.1976598,,,
GOU,22,MMIB-II,0,MMIB-II,proto,17,G22,4900,665105,3886310,4900,39.493,49,29.4,305.9135606,,,
GOU,23,HEL-RMN,0,CLASSICAL,greco-rmn,140,G23,2000,665193,3886520,2000,25.231,10,6,138.1976598,,,
GOU,23,HEL-RMN,0,HELLENISTIC,greco-rmn,2,G23,2000,665197,3886530,2000,25.231,10,6,138.1976598,,,
GOU,23,EMI-II,0,EMI-II,prepal,9,G23,30000,665195,3886520,30000,97.721,450,270,927.0580849,,,
GOU,24,MMIB-II,0,MMIB-II,proto,18,G24,4500,665276,3886180,4500,37.847,45,27,293.1615071,,,
GOU,24,MMIII-LMI,0,MMIII-LMI,neo,14,G24,4500,665319,3886190,4500,37.847,45,27,293.1615071,,,
GOU,25,MMIII-LMI,0,MMIII-LMI,neo,15,G25,3600,664707,3886020,3600,33.851,36,21.6,262.2116233,,,
GOU,25,MMIB-II,0,MMIB-II,proto,19,G25,3600,664764,3885950,3600,33.851,36,21.6,262.2116233,,,
GOU,26,MMIB-II,0,MMIB-II,proto,20,G26,900,664844,3885570,900,16.926,4.5,2.7,92.70580849,,,
